time,R,E
60,8.244,9.896
120,16.458,10.937
180,24.925,32.572
240,24.329,25.283
300,28.0,nan
360,22.372,38.791
420,24.697,nan
480,22.35,58.803
540,nan,56.0
600,19.435,53.0
720,nan,50.483
