2,5.5,4,5.5,3,0,0
1,6,3,1.5,3.5,1.3,0
2.5,5,5,3,5.5,3.5,0
3.5,5.5,6.5,5.5,3.5,4,0
2.5,3,6.5,6.5,2,0.8,0
4,5,5.5,7.5,5.5,1.3,0
